日本語,英語,例文,,
微塵（みじん）,A trace of~,,,
分子,Molecule/member,分子はメンバー全体のことをいう」党から過激分子を追放する。,,
子分,A henchman etc.,メンバーのことを一人一人いう」,,
粒子,A particle,空気中のごく小さい粒子ががんのもとになり得る。この実験においては、粒子Ｍを水平方向に加速してやることが非常に重要である。,,
砕く,To crush/smash,人に心を砕く（Ｄｅｖｏｔｅ　ｏｎｅｓｅｌｆ　ｔｏ　ａ　ｐｅｒｓｏｎ）ものを粉みじんに砕く。彼の希望は無残に砕かれた。恋は人の心を砕くこともできるのさ。,,
岩棚,A ledge,彼は岩棚から落ちて足を折った。,,
接する,To treat/come into contact with,私の土地は川に接してる。わたしの郷里の町は海に接してる。ボブにやさしく接してあげてくれよ、ほら、彼は最近つらいこと続きなのだ。家族生活にみられるもう一つの変化は、両親の子供に対する接し方である。,,
認識する,"Recognition, to recognize",,,
平均台,A balance beam,,,
追求する,"Persuit, to persue",彼の人生は社会的に権力を追求する人生だった。女性の権利を主張する団体はセクハラ問題を追及しています。,,
存続する（そんぞく）,"Continuing to exist, to continue to exist",だが、概ね天皇は世俗権力を追及することなく存続してきたようです。,,
さっぱりする,To be refeshed,冷たいものを飲むとさっぱりしますよ。熱い風呂に入るとさっぱりするよ。冷たいシャワーを浴びるとさっぱりしますよ。,,
コンパートメント,Compartment,,,
ファンタジー,Fantasy,夢想」,,
窮屈な・狭隘な（きょうあい）,To be cramped,列車のコンパートメントはすぐ窮屈になる。狭隘な道路。,,
柔軟な、柔軟性,"To be flexible, flexibility",もっと柔軟な態度をとりなさい。考え方は柔軟でなければならない。当分の間は柔軟な戦術をとってみてはどうでしょう？,,
順応する,"Adaptation, to adapt",環境の変化に合わせて性質や行動が変わること」外界の刺激に対して感覚器官が慣れていくこと」新しい国での生活に順応する。彼らは外国の生活にたやすく順応した。彼らはその変化に素早く順応した。彼女は新しい環境に順応するのは難しいと思った。明暗順応。,,
がっしりした,To be tough,体格などが」,,
掛け声,Things you yell,せいの！,,
野山,Hills and fields,馬の背に跨り野山を走り回った。雨不足での山の植物が枯れた。,,
跨る、跨り（またが）,"Straddling/crossing over, to straddle/cross over",,,
渦巻き、渦巻く,"A swirl/vortex, to swirl/vortex",,,
うろちょろする,To move around restlessly,目障りになるほどあちこち動き回るさま」電車の中を子供がうろちょろしていて不愉快だった。,,
不敬な（ふけい）,To be disrespectful,彼の不敬な発言は不愉快だ。友達は彼の横暴な態度には不愉快に思ってる。約束を破ることほど人を不愉快にするものはない。,,
こじ開ける、ピッキングする,To force open/to pick a lock,,,
店舗、店、ショップ,A shop/store,,,
～好き、～派,A liker of~,アウトドア派。猫派。,,
属す・属する,"Affiliation, to be affiliated with~",彼女はテニス部に属してる。彼は企画部門に属してる。,,
抹消する,"Erasure, to erase",線を引いて抹消する。塗りつぶして消すこと」登録を抹消する。修正液で消す。戸籍を抹消する,,
真正面,Right in front of one,メガネはどこ？真正面にあるよ！阿呆馬鹿！,,
真っ正直,Perfectly honest (to be),,,
返済する,"Repayment, to repay",借金が返済できなかった農民たちは、農地を競売にかけねばならなくなった。借金をきれいに返済してもらいましょうか？,,
未亡人・寡婦（かふ）,A widow,寡婦はほぼ用いられない」,,
ひりひりする,To sting/burn,ディップは辛いほど下がひりひりした。とうがらしで舌がひりひりした。喉がひりひりする。目がひりひりする。日焼けは肌をひりひりさせる。,,
ほど遠い,To be far from～,彼の答えは政界にというには程遠い。彼の回答はもん俗なものとは程遠いものだった。そのソフトは完璧からほど遠い。優勝には程遠い。,,
箇所,Place,強風のため電線が数か所で切断された。契約には曖昧な箇所があってはならない。,,
概要、要約,An outline,彼は私に事件に概要を説明した。ここまでで、この時期の政治不安増大に関する概要を述べてきた。,,
掛け金,Insurance premium,保険料ともいう」その保険の掛け金は１カ月１万円だ。納屋のドアは不注意にも掛け金が外れたままになっていた。（かけがね）,,
賭け金,A bet ( gambled money),いよいよ賭け金を回収するときが来ました。,,
ふむふむ・うんうん・なるほど,I see,,,
職員,Staff,職員以外立ち入り禁止。出火したのは職員が帰宅したのちに違いない。彼はワシントン銀行の職員です。,,
選考,"Screening, to screen (carefully select)",職員の選考に関する規則を次のように定める。選考委員会Ｓｃｒｅｅｎｉｎｇ　ｃｏｍｍｉｔｔｅｅ．選考が極めて難しいものになる。選考会議。選考制度。選考の第二次段階で落とされる。選考基準。選考手続き。選考手続きの基準を明らかにする。選考手順を作る。選考方法。選考段階。選考試験。選考試合。選考過程。,,
次のように,As follows,,,
病気にする,To make sick,,,
歯茎,Gums,歯茎は出血する？歯茎にあたるところはないですか？歯茎の状態が悪い。歯茎が炎症を起こしてるようだ。炎症を起こす（Ｔｏ　ｈａｖｅ　ｉｎｆｌａｍｍａｔｉｏｎ，　ａｎ　ｉｎｆｅｃｔｉｏｎ）,,
単刀直入な,To be right to the point/blunt,私は彼に単刀直入に尋ねた。彼はそれについて単刀直入だ。,,
～の目線で,From one's point of view,納税者の目線で努力したいと思います。ジェーンは私たちに怒っていそうな目線を投げかけた。,,
納戸（なんど）,A closet/storage room,,,
納屋,Shed/barn,,,
～に納める,To store in~,その辞典は約５０万語の単語を収めてる。書類は全部テープでくくられて金庫に納めてる。,,
見どころ,A highlight (good area）,桜の花が見所。梅の花は今週が見所,,
屈する・屈服する・折れる・譲歩する,To give in,敵の要求に屈する。運命に屈する。敵に屈服する。,,
採択する,"Adoption, to adopt",その委員会はその提案を採択した。国連総会は停戦決議案を採択した。彼らはその提案を採択した。満場一致というわけにはいかないけれど、君の提案は採択されたよ。,,
総会,A general meeting/general assembly,１０月に総会を開催すべきだという提案があった。多数の会員が総会に出席した。,,
身辺（しんぺん）,"Personal affairs, the vicinity",身辺整理To clear up debt and get things in order身辺を警戒する。身辺が騒がしい。,,
摂氏,Celcius (metric system),,,
捜索する,"A search, to search (for something missing)",,,
散開する,To spread out,我々は散開して森の中を捜索し始めた。,,
身体検査,"A physical exam, a body search",,,
第一人者,A leading person (in an industry etc),彼女は有能だったので第一人者となった。彼は心臓外科の第一人者だ。彼女はこの問題に関して第一人者と目されてる。彼女は国内でフィギュアスケートの第一人者だと認められてる。彼はその分野の第一人者だと認められてる。,,
多様な、多様性,"Diverse, diversity",現行の法律は人類の多様性を考慮してない。我々の保険の範囲は多様な損害に及びます。彼の才能は大変素晴らしくそして多様である。,,
きっぱりと,To flat out~,彼は彼らときっぱり別れた。彼は私たちの頼みをきっぱりと断った。彼は彼女に容体がどんなに悪いか認識するようきっぱりといった。彼女は彼とは映画に行かないときっぱり言った。彼女はもう二度と私の顔を見たくないときっぱり言った。彼女は彼の中に入れるのをきっぱりと拒否した。,,
通路,"A passage, aisle",これが海への通路。２番通路です。通路に物を置くな。我々はその建物への秘密の通路を発見した。,,
最後尾（さいこうび）,End of a line,,,
プチプチ,"Lumpy sensation of food, small things popping",,,
桁外れな,Extraordinary,桁外れに強い戦士。桁外れに見事なドレス。桁外れに多い死者の数。桁外れの自惚れ。桁外れの作業量。桁外れの利益を上げる。桁外れの安値。桁外れの才能。桁外れの回復力がある。桁外れの資金を受け取る。～に桁外れの影響を与える。50フィートの桁外れに大きいワニ。その子供はけた外れの知能の持ち主だ。,,
領土,Territory,あの島はアメリカの領土です。アンゴラはかつてポルトガルの領土だった。彼らは領土の５分の１を支配していた。彼らは征服によって領土を拡張した。彼らは帝国の領土を広げた。,,
断食する,"Fasting, to fast",痩せるには過酷な断食をしないといけないと思ってる人。,,
即刻,Without delay,かんかんに怒った社員は即刻会社を辞めた。ポスターは即刻壁から撤去された。我々は即刻アメリカに向かって出発しなければならなかった。,,
決別する,Separation,仲間と決別してから、ほかのプレイヤーを邪魔するようになった。,,
方式,Method,プリペイド方式。彼は新しい方式を編み出した。あの大学はマークシート方式で入学試験を行ってる。我々の政策や方式は旧式になりかかてるから、改正する必要がある。,,
占領する,"Occupation/capture, to occupy/capture",この机は場所を占領しすぎる。敵は砦を占領した。その都市は１６６４年にイギリス人に占領された。誇り高いトロイの町はついに占領された。,,
良好な,Favorable,品物は要綱な状態で到着した。天候が良好なら出席状況はよいはず。,,
固執な,"Persistance, to be persistant",彼は自分の特論に固執した。彼は自分の考えに固執した。そばはその旧式のドレスを着ることに固執する。彼女は彼が正しいという意見に固執してる。自分の意見に固執する。,,
受け流す,To evade,,,
観客,Audience,,,
水位,Water level,,,
反乱する、反乱者,"Rebellion, to rebel, a rebel",,,
手順,Procedure,警察が通常の操作手順をとったかどうか明らかでない。弁護士は行動の手順を決定した。,,
遮断する,"Blocking off, to block off",崖崩れで交通は遮断された。インターネットの接続は遮断された。空気を遮断して火を消した。,,
隔離する,"A quarantine, to quarantine",その伝染病患者はほかの患者から隔離された。私たちは一人の患者を残りの患者から隔離した。私は人類隔離に反対だ。細菌などから隔離するため、面会謝絶となっています。,,
宣教師、伝道師,Missionary,,,
分離する、引き離す,"Seperation, to separate",マヨネーズの油は分離することがある。,,
理性、理性的な,"Reason, reasonable",彼は自分の家が焼けるのを見て理性を失った。しかし、我々が完全に理性的であるなら、子供を欲しいと思うであろうか。もっと理性的であるべきだ,,
ぜいぜい息がする,To wheeze,,,
幾分,Somewhat,全部の一部円グラフのよう」パイチャート書物の幾分かを寄付する。今日はいつもより気分が幾分よい。幾分ましな家。彼には幾分ショックのようだった。私は幾分緊張してる。彼は父親の天才を幾分受け継いでる。彼は幾分父親に似たところがある。そのケーキは幾分レモンの味がした。彼は朝は幾分不機嫌だ。,,
近隣、近所,Neighborhood,,,
遠からず・やがて,Before long,私も遠からず大人になる。地震の予知ができる日が遠からずやってくるだろう。,,
取り押さえる,To sieze,犯行人はすぐ警察に取り押さえられた。警察は泥棒を取り押さえた。警察はすりを現行犯で取り押さえた。,,
大敗（たいはい）,"Losing badly, to badly lose",見方のミスが続いて大敗する。,,
プチ切れる,To be a little upset,,,
しょっちゅう,Often,彼女はしょっちゅうかっとなる。彼はしょっちゅう悶着を起こしたため、首になった。彼女はしょっちゅう夫のあら捜しをしてる。彼女は頭痛を訴える、それもしょっちゅうだ。,,
現行「の」,Current/existing,今の」現行の法律は人類の多様を考慮してない。車の事故に関する現行の法は手直しが必要である。,,
根本的な、基本的な,To be fundamental,それでは根本的な問題を見てみることにしましょう。,,
丸薬,Ammo,,,
満載,Fully loaded,,,
ローション、化粧水,"Lotion etc (to put on, spread)",化粧水をつける。,,
単位,"A unit of measure, a credit (school)",単位重量。長さ、高さ、重さの単位。国際単位系。日本ではメートルが長さの標準単位である。家族は社会の単位。彼女は卒業するのにあと１０単位必要だ。谷を修得する。生物学は４単位だ。,,
混雑な,"Congestion, to be crowded",道はトラックで混雑してた。道路はいろいろな車で混雑してた。廊下は大変混雑していたので歩けなかった。毎朝地下鉄はあんなに混雑しなかったらなあ。日曜日だったので、スーパーは非常に混雑してた。,,
幹線道路,A main road,,,
落石,Fallen rocks,,,
寄与する,"A contribution, to contribute",自分の持ってる力を出して人や物ぼ役に立つこと。国や社会の役に立つこと。昔は上から下へつかう言葉だった」医学の発展に寄与する。軍縮は必ずや平和に寄与する。それは社会に寄与するのだ。幹線道路の建設は郊外の発展に寄与するだろう。各人が個人的であるほど、それだけ他人の英知木寄与する。,,
軍縮する,"Disarmament, to disarm",,,
ガス欠する・になる,To run out of gas,砂漠の真ん中で私たちの車はガス欠になった。この前、混雑した幹線道路の真ん中でガス欠してしまった。ガス欠です。劇場に向かう途中でガス欠になった。彼らは奈良を過ぎて１０分後、車はガス欠になった。東京の中心部に向かう途中でガス欠になった。,,
倹約する,"To be thrifty, to save",彼は金をためるため年間もけちけち倹約した。収入が低いと倹約せざるを得なくなる。家の支払いのため、僕らは倹約しなければならないだろう。,,
有害な,To be harmful,喫煙が有害だという事実は否定できない。太陽光の浴びすぎは皮膚に有害だ。紫外線は私たちにとって有害だ。私たちは健康に有害な食品を知らずに食べているｋとがよくある。,,
紫外線,UV Rays,,,
収支,Income and expenditures,,,
しゃっくり「が出る」,"Hiccup, to have the hiccups",しゃっくりがよく出る。,,
入念な,To be careful,彼の理論は入念な調査に基づいてる。警察は事故の原因を入念に調査した。彼は入念に書類を見た。この上なく入念に準備した計画でもしばしば失敗する。,,
抑制する、抑える,To hold back/suppress,彼は怒りを抑制することができなかった。政府は通常インフレがある水準に達した場合は、物価の抑制の措置に訴える。彼は最早自分を抑制することができなかった。特に大都市では排気ガスの抑制が必要だ。音を最低限に抑える。,,
立候補する,"Running for~, to run for~/to run for election",彼は無視族で立候補した。彼は来年の選挙に立候補するだろう。彼は大統領に立候補するだろう。彼は立候補の意志がないことを友達に知らせた。彼は立候補することを公式に発表した。,,
卒業生,Graduate/alumni,その大学は去年５００名の卒業生を出した。その先生は何人かの卒業生と話をして楽しかった。君も私も大学の卒業生だ。校長は卒業生一人一人に卒業証書を授与した。大学卒業生の未就職者は４０００以上に及んでる。私たちの大学は毎年１０００以上の卒業生を送り出す。校長は卒業生一人一人と握手をした。,,
業務,Business,部長が不在の時はブラウン氏が業務を管理する。日曜日は郵便業務がありますか。国立の保険業務は、十分には程遠かった。支配人が不在の時は彼女が業務を管理する。,,
微生物、微生物学,"Microorganism, microbiology",微生物学の基本から最新の情報までを網羅する。,,
無害な,To be harmless,この島ではたいていの蛇は無害である。この除草剤は人間に無害だ。これは本来無害です。その音はいらいらさせるけれど、人体には無害です。熱がこの化学薬品を無害な気体に分解するだろう。,,
顕微鏡,A microscope,電子顕微鏡Ｅｌｅｃｔｒｏｎ　ｍｉｃｒｏｓｃｏｐｅ．顕微鏡の焦点を合わせなさい。彼は顕微鏡を覗いていた。細菌は顕微鏡の力を借りて初めて見られる。彼はそのスライドを顕微鏡で見た。誰が顕微鏡を発明したかご存知ですか。倍率２００倍の顕微鏡。,,
しばらくの間,A short while,,,
並べ替え、並べ替える,"Sorting, to sort",,,
業務課,Operations division,部Department,,
幹事,A coordinator,私、漢字をやるのが初めてだから要領が悪いのかもしれません。その女性幹事は彼の傲慢さにどうしても我慢できなかった。,,
学会誌（がっかいし）,An acedemic journal,,,
腫瘍,Tumor,胃に腫瘍ができたので切ってもらった。,,
領域,A field of expertise/an area of land/territory,科学の全領域。君は危険な領域に踏み込んでるよ。自分の領域外にある。旅客機が軍事的領域を侵犯したとのことです。世論は政治の領域で重要な役割を演じる。,,
評議する、評議員,"Discussion, to discuss, a counselour",,,
法人,Corporation,,,
訪問する,"Visiting, to visit",ある場所に行くときに使う、来る方が来訪者」,,
治療する,"Medical treatment, to treat",,,
けちけちする,To be stingy,チップにけちけちしないこと。彼はお金を貯めるため何年間もけちけち倹約した。彼はお金のことでけちけちする。金のことでけちけちするな。,,
立ち尽くす,To stand very still,その少年は恐れおののき立ち尽くした。その女児はしばらくの間立ち尽くしていた。,,
わななく・おののく・戦慄する（せんりつ）,To tremble (with fear),戦慄くの方が度が強くて体が震えている状態を表す」恐怖に戦慄く。物音におののく。,,
極まる,To reach an extreme,ぎりぎりの状態まで行く」感極まる。極まるところを知らない征服欲A lust for conquest that knows no boundsその映画の最後のシーンで感極まって泣いた。無神経極まった人。涙が出るほど感極まる。非常識極まる行為を正当化する。退屈極まる一日。,,
極まらない,Extremely,,,
気回りない,To be insonsiderate of rules/danger etc,,,
香辛料,Spices,,,
匹敵する（ひってき）,To be a match for~,彼女は英語を話す力では先生に匹敵する。,,
強度,Degree of strength,,,
勇敢な・勇気な・勇ましい（いさましい）、勇者・英雄,"To be brave/courageous, a hero",,,
雄鶏（おんどり）,A rooster,,,
石英,Quartz,,,
長所,A strong point,,,
短所,A weak point,,,
哀切な（あいせつ）,To be pitiable/pathetic,哀切を極めた物語。,,
休日、祝日,"A day off, a national holiday",,,
不定期（スケジュール）,An irregular schedule,,,
演じる,To act,,,
不可解な,To be incomprehensible,,,
遠心力(えんしんりょく）,"Momentum, centrifugal force",,,
毛穴（けあな）,A skin pore,,,
対戦相手,An opponent,,,
即座「の、に」,On the spot,,,
考慮する,"Consideration, to take into consideration",,,
爽快な（そうかい）,To be refreshing/exhilarating,,,
骨組み,"Skeletal frame, structure (plan/building etc)",彼は背が高く、骨組のがっしりした男。彼は計画の骨組みを簡単に説明してくれた。新しい建物の骨組みが徐々に姿を見せてきてる。その機会の骨組みは固くなければならない。その建物の骨組みは今や完成してる。その建物は鋼鉄の骨組みにコンクリートで作られることになってる。,,
解像度,Resolution (electronics),,,
独裁、独裁者,"A dictatorship, a dictator",,,
たわごと,Nonsense/bs/shenannigans,僕は君のたわごとにうんざりしてる。,,
増大する,"Increase, to increase",何にも使える,,
統計、統計的な,"Statistics, statistical",統計学Statistics,,
普段着,Ordinary clothes,,,
式服（しきふく）・正装（せいそう）,Formal clothes,正装で行く・参加する。,,
往来する,Traffic (coming and going),欧州はだれもかれも自由に往来できる。,,
やり合い・いざこざ・やり合う・もめごと・ごたごた・争いごと,"A quarrel, to quarrel",新子はそのことで彼と遣り合った。彼らは、まずめったにやりあうことがない。我々はその金のことでやりあった。シャツの値段のことで店員と遣り合う。,,
学生服、学校制服,A school uniform,,,
騒乱（そうらん）,Disorder,,,
拘束する,"Restrainment, to restrain",,,
もっともらしい,To be feasible,,,
亡き,Deceased～,亡き母、亡き大統領＾＾,,
鎮痛剤・痛み止め,Painkiller,鎮痛剤を服用する。,,
粉末,Powder,,,
～に依存する,"Reliance, to rely on",,,
リス,A squirrel,,,
勾玉,A comma bead,,,
悪巧みする,"Planning evil, to plan evil",,,
確立する,"Establishment, to establish",,,
名鑑,A directory/list of names with pictures,,,
結晶、クリスタル,A crystal,,,
無粋な,Tactless,,,
設立する,"Establishment, to establish",彼らはロンドンで新会社を設立した。彼らは被害者を支えるための募金を設立した。,,
蝕む（むしば）,To corrode/eat away at,世界は蝕まれているかもしれないですね。,,
本来、普通,Ordinarily,本来、えあるが多少乱れたところで世界には影響はないわ。,,
引き出す,"To withdrawal, to bring out",彼の長所を引き出す。銀行の預金口座から１万円を引き出す。才能、能力を引き出す。真相を引き出す。それとなく情報を引き出そうとする。,,
凄まじい（すさ）,Tremendous,凄まじいパワーを得ることができるわよ、きっと。,,
峡谷（きょうこく）、渓谷（けいこく）,A canyon/ravine,グランド峡谷の風景は素晴らしい。,,
殺風景な（さっぷうけい）,To be plain/tasteless,それにしても、ずいぶん殺風景なとこに住んでるのねえ。フェローは,,
生い茂る（おいしげる）,To be overgrown,かつてはここにも一面、緑が生い茂っていたというわ。その木々は葉が生い茂ってる。庭には雑草が生い茂ってる。,,
仮説、仮説の,"A hypothosis, to be hypothetical",私の仮説、間違ってて欲しかった。,,
座視する,To sit by and watch,それはで会全体の問題なのだ。そしてその者はその原因。座視するわけには行かぬ。,,
丸焼き、バーベキュー,BBQ,それで駄目なら、丸焼きでも何でも好きにしたらいい。,,
波風,Dissention,波風を鎮めるにはチーズケーキのお土産が良いらしいですよ。,,
効率よく、能率よく,Efficiently,,,
鎮める（しず）,To calm,,,
あっさり,Easily,彼はあっさり罪を白状した。彼はその問題をあっさり解いた。彼女はあっさり答えた。,,
突き止める,To find out (same nuances and usages as English),何がうまくいかなかったのか突き止めなければならない。警察は車の持ち主を何とか突き止めることができた。警察はその男の身元を突き止めることができなかった。強盗は遺留品の一つから突き止められた。彼女はその小説が事実に基づいてるのを突き止めた。,,
新入り,A newcomer,誰も新入りの女の子に親切だった。うちのボスは死にるの女の子に夢中だ。,,
精々（せいぜい）,At most/at best,彼女はせいぜい３０歳だと僕は思った。彼女はせいぜい二流の歌手だ。旅費は精々千ドルかかるだろう。彼女はせいぜい５０ドルしか払わないだろう。,,
使い走りする（つかいぱしり）、走り（ぱしり）・つかいっぱしり,"Running errands, to run errands, an errand runner",彼女は部屋を掃除し、使い走りをしてくれた。彼女の使い走りをしようとひとりの少年が待機した。,,
補う（おぎな）,"Compensation, to compensate (for the lack of~)",,,
発端（ほったん）,An onset (cause of),呼び水・切っ掛け、引き金とよく似てる表現」,,
副業・アルバイト・バイト・パート,A part time/side job,実際の労働条件が異なる」,,
猛烈な,To be fierce,猛烈なライオン。猛烈な風。猛烈にかわいい。猛烈な暑さ。猛烈な嵐。猛烈な反対。風が猛烈にふいた。彼らは猛烈にいがみ合ってる。猛烈社員,,
年長の、年長者,Older/elder~,,,
凝縮する（ぎょうしゅく）・凝結する,"Condensation, to condense",,,
すばしこい,To be swift,,,
正当な,To be just,,,
給与,A wage,給料に等しい」,,
館（やかた）、豪邸（ごうてい）屋敷,A mansion,,,
発掘する・掘り出す,"Excavation, to excavate",新しい遺跡で未発掘はいくつだったのですか。埋もれていた都市を発掘する。,,
埋もれる,To be buried/submerged,海底に埋もれて財宝。自分の埋もれた才能を引き出す。,,
革新する、革新的な,"Innovation, to innovate, innovative",技術革新。,,
輸送会社・運搬会社,A shipping company,,,
柄杓（ひしゃく）,A ladle/ scoop/ dipper,,,
ぶらつく,To hang around,,,
等分する,To make into equal parts,この線を２０等分せよ。そのメロンを切って６等分しなさい。正方形を２等分せよ。,,
正方形,Square,,,
球体,Sphere,,,
長四角・長方形,Rectangle,長方形の対辺は平行してる。この構成において,,
構成する,"Composition, to be compsed of (body,shape etc)",,,
世代,A generation,,,
補強する,"Reinforcement, to reinforce",コンクリートは中に鉄鋼の棒を入れることで補強される。彼らは村を洪水から守るために堤防を補強した。,,
心情的な、感傷的な,To be sentimental,,,
テンキーパッド、テンキーロック,"Numpad, numlock",,,
日課「の」、日課にする,"A routine, to make a routine",日課の散歩の途中なので、もう少ししたら戻る。彼女は英語の勉強を日課にしてる。,,
発想、考え方,A way of thinking,デーヴの天才的な発想にはついていけなかった。,,
思いの外、予想以上に,Unexpectedly/suprisingly,抑制の有効範囲が思いの外、限定されていたのよ。,,
かんしゃく　,A temper tantrum (to have),ベッドの上の洋服を片付けなさいって言われてかんしゃくを起こしました。,,
～に掛かり切り,To be completely occupied with～,彼女は子育てにかかりきりだ。彼女は午後ずっと料理に掛かり切りだった。,,
顔をしかめる・しかめっ面をする、しかめっ面,"To frown, a frown",,,
顔を赤らめる・赤面する,To blush,その男は赤面した。,,
取り乱す,To get flustered/loose one's cool,ボブはひどく取り乱していて、現実と虚構の区別がほとんどできなかった。彼はその悲報を取り乱さずに聞いた。その男は終身刑であると裁判官が判決を下したとき、取り乱した。あんな冷静な人が取り乱したなんて考えられない。,,
見込み,Likelihood,彼女が受賞する見込みは十分にある。彼女がすぐに良くなる見込みはほとんどない。,,
根拠、根拠がある、根拠のない,"Grounds, good reason, groundless",彼は根拠のない非難にいらいらした。彼女には離婚申請をする十分な根拠があった。彼に反対する根拠がない。彼の主張には根拠がないことに注意することが重要である。,,
模型,A model (not person),,,
快く（こころよく）,Happily/willingly,,,
乏しい,To be scarce,天然資源の乏しい国家。乏しい金鉱脈を掘り当てる。冬は新鮮野菜が乏しい。生物工学についての乏しい知識。栄養の乏しい食事。内容の乏しい議論。,,
長じる・長ずる（ちょうじる）,To excel at,数学に長じる。,,
器官,Organ,,,
展開する,"Decompression, to compress (files)",ファイルを展開する。,,
圧縮する,"Compression, to compress (files matter etc)",,,
ぶら下がる,To dangle/swing,,,
ぶら下げる,To dangle/swing ,,,
群衆・人込み・群集,A crowd,,,
目掛ける,To aim at,怒った群集は大使館目掛けて投石した。少年は犬を目掛けて小石を投げつけた。,,
暗示する・ヒントする,"A hint, to hint at~",,,
代替～,An alternative‘,代替エネルギー、代替日、代替医療、代替物、代替テクノロジー、代替の,,
靭帯（じんたい）,A ligament,もし気を付けなければ彼女はそんなことをしてるうちに靭帯を切ってしまうだろう。,,
口寄せする,To summon (a monster etc),,,
訛る（なま）,To speak with an accent,北海道の下にある県はすごくなまってる。何を言ってるのかわからない。,,
さらす,To expose to,,,
生殖する,"Reproduction, to reproduce",生殖器,,
甘える,To be pampered,,,
それどころか,On the contrary,彼は忙しいと思ったが、それどころか暇だった。その夫婦は怠け者でない、それどころか働き者だと私は思う。彼は裕福でない、それどころか借金だらけだ。そのお嬢さんは貧しくはない、それどころかかなり裕福だ。,,
ぎっしり,To be crammed,本がぎっしりの本棚。衣類をスーツケースにぎっしり詰め込む。引き出しはガラクタがぎっしり詰まった。ぎっしり詰まったプログラム。予定がぎっしり詰まったスケジュール。彼は予定がぎっしり詰まっていた。,,
～に甘んじる,To be content with,運命に甘んじるくらいなら自殺したほうがまだまし。私の今の境遇に甘んじてはいない。,,
多大な,A great deal of~,彼は癌の研究に多大な貢献をした。彼は姉に多大な愛情を持ってる。嵐は多大な被害を引き起こした。嵐は作物に多大な影響を与えた。よい言葉は多大の価値があるが、金はかかりない。,,
どういった,What type?,,,
活用する,"Utilization, to utilize",有効活用する。Ｔｏ　ｅｆｆｅｃｔｉｖｅｌｙ　ｕｔｉｌｉｚｅ．彼は自分の機会を最大限に活用した。,,
根っから,A ~ at heart,根っからの軍人だよ,,
片腹痛い,To be ridiculous,,,
屁理屈「を並べる・こねる」,A groundless argument,正論ではない主張を正論のように言うこと」An argument for arguments sake牛の謎々は屁理屈,,
下取り「に出す」,"Trading in, to trade in",車を下取りに出して新車を買う。古いものを下取りに出す。何か新しいものを買うのに何かを下取りに出す。,,
補充する,"Replenishment, to replenish",シャトルの備品が然るべく補充されるよう管理してる。,,
然るべく、然るべき,"Properly, proper",シャトルの備品が然るべく補充されるよう管理してる。よい仕事に対する然るべき報酬。その仕事に然るべく人が必要だ。,,
成分,Composition (ingredient for food),何か特別な成分を含まれているらしい。,,
記憶にとどめる、頭に定着する,To remember,,,
切ない・つらい・惨めな,To be rough/harsh,,,
脅す・脅迫する,"A threat, to threaten",,,
脅かす（おど）・おびやかす,To frighten,,,
～に励む　（一生懸命やる）,To work hard at,,,
目に入る,To come into sight,,,
満更（まんざら）,Not alltogether/completely,彼の演説はまんざら捨てたものではなかった。His speech wasn't completely without it's worth満更夢ではない。初めのうちラジオ体操にはうんざりしたが、今では満更いやでもない。「ではない＝でもない、ではないの方が度合いが高い」これは満更不合理な解釈というわけではない。まんざら悪くはない。新しい仕事の話をしたら彼はまんざらでもなさそうだった。,,
間隔,Interval,時間の間隔は短い・長い、あるかない、空いてるか空いてない、物理的なものは間隔が狭いか広い」木と木の間の１ヤード間隔。,,
生息する,"Inhabitation, to inhabit",この鳥は森林地帯と人家のあるところに生息する。,,
ろくでなし,Bum,,,
怖気づく（おじけ）,To get scared,いよいよというときになって彼は怖気づいた。,,
浮き袋（うきぶくろ）,Foam swimmy,,,
法律で禁じられてる・禁止されてる,Forbidden by law,未成年者の喫煙は法律で禁じられてる。,,
検証する、再検証する,"Verification, to verify, to reverify",,,
採点する,"Grading, to grade (school papers etc)",,,
休日,Off from work or school,休日は授業や仕事などを休む日。なので一般的な休みを言います。,,
休暇,A day you take off,休暇は休日以外の休み。自分で会社から取った休みね！,,
祝日,A national holiday,,,
中途,"Halfway, mid-career",中途採用Mid career recruitment　日本は中途より新卒を優遇されるから,,
新卒,A new graduate,新卒採用New grad recruitment,,
優遇する,"Favoritism, to favorize",あるグループを特別に扱うこと」あの会社は新卒より、経験者を優遇する。,,
駆け引きする,"Bargaining, to bargain",社内の駆け引き。駆け引きがお上手ですね。外交の駆け引きでは、とても彼には及ばない。,,
側面,"Side, aspect",そういう側面もあるけど、全く期待されないよりかはいいね。,,
事欠く,To go without,彼はぜいたく品は言うに及ばす、日用品を買うのにも事欠く。,,
～に同調する,"Synchronization/to go along with someone's idea, to synchronize",私はあなたの計画に同調します。デジタルカメラのフラッシュとシャッターの同調をする。その計画では彼に同調できました。私たちはやっと彼を説得して私たちの考えに同調させた。,,
～が待ち遠しい,Can't wait for~,今年のクリスマスが待ち遠しい!,,
あっさりした味,A plain flavor,,,
要領がいい、要領が悪い,"A quick learner, a slow learner",,,
たわいもない・たわいない,To be foolish,,,
愛想（あいそう）　愛想がいい,To be pleasant,態度」彼は私を見て愛想よく笑った。,,
音信不通「になる」,To drop out of contact (with someone),音信不通になることはないと思う,,
